mq2,mq135,temp,hum,lat,lon,alt
31.88,11255.45,24,33,52.534393,13.435849,10.3
31.88,429.18,25,31,52.534378,13.435847,10.3
31.19,378.35,25,33,52.534378,13.435847,8.5
31.88,414.15,25,32,52.534374,13.435854,8
31.88,421.62,25,30,52.534374,13.435842,7.9
32.58,392.37,25,30,52.534374,13.435829,7.9
31.88,371.48,24,33,52.534374,13.435829,7.7
31.19,406.79,25,32,52.53437,13.435821,6.7
31.19,399.53,22,20,52.53437,13.435827,6.3
31.88,392.37,22,20,52.534367,13.435818,6.3
32.58,371.48,25,32,52.534367,13.435818,5.9
32.58,399.53,25,32,52.534367,13.435807,6.2
31.88,399.53,22,20,52.53437,13.435785,6.2
31.19,406.79,25,32,52.534374,13.435776,6.2
31.19,371.48,25,33,52.534374,13.435776,7.1
31.88,392.37,25,31,52.534374,13.435761,7.7
31.19,392.37,24,31,52.53437,13.435768,6.9
31.88,399.53,24,33,52.53437,13.435765,6.9
31.88,364.72,25,31,52.53437,13.435765,7.9
31.88,399.53,25,31,52.53437,13.435772,8.7
31.19,385.31,25,33,52.534378,13.435781,10.1
31.19,392.37,22,20,52.53437,13.435777,10.1
31.88,371.48,25,31,52.53437,13.435777,8.9
31.19,392.37,25,31,52.53437,13.435776,8.7
31.88,385.31,22,20,52.53437,13.435763,8.2
31.19,385.31,25,32,52.53437,13.435753,8.2
31.88,392.37,25,31,52.53437,13.435764,8.2
31.88,351.46,25,32,52.53437,13.435764,8
31.19,385.31,26,31,52.534363,13.435759,5.7
31.19,392.37,25,32,52.534359,13.435749,4.5
31.19,392.37,25,31,52.534355,13.435728,4.5
31.88,371.48,22,20,52.534355,13.435728,3.1
31.19,385.31,25,32,52.534351,13.43573,2
31.19,385.31,25,33,52.534348,13.435722,1
31.19,399.53,20,19,52.534348,13.435723,1
31.19,371.48,22,20,52.534348,13.435723,0.2
31.19,378.35,21,20,52.534348,13.435706,-0.2
31.19,392.37,25,31,52.53434,13.435704,-1.7
30.51,378.35,25,31,52.53434,13.43571,-1.7
31.19,351.46,25,31,52.53434,13.43571,-2.7
30.51,392.37,25,30,52.534336,13.435724,-3.7
30.51,392.37,22,20,52.534336,13.435733,-4.2
30.51,378.35,25,31,52.534332,13.435742,-4.2
30.51,351.46,22,20,52.534332,13.435742,-5.2
31.19,385.31,22,20,52.534332,13.435732,-5.2
30.51,385.31,21,20,52.53434,13.435729,-4.5
30.51,371.48,25,30,52.534344,13.435741,-4.5
30.51,351.46,25,31,52.534344,13.435741,-4.3
30.51,392.37,22,20,52.534348,13.435746,-4.3
30.51,364.72,25,32,52.534348,13.435746,-3.5
30.51,371.48,25,32,52.534348,13.435756,-3.6
29.85,371.48,22,20,52.534359,13.435749,-3.6
29.85,351.46,22,20,52.534359,13.435749,-1.2
29.85,378.35,22,20,52.53437,13.435755,1.6
30.51,385.31,25,31,52.534382,13.435771,5
30.51,364.72,22,20,52.534389,13.435793,5
29.85,351.46,25,31,52.534389,13.435793,8.5
30.51,371.48,22,20,52.534363,13.435748,-0.1
29.85,392.37,22,20,52.53437,13.435733,-1
29.85,371.48,25,32,52.534378,13.435727,-1
30.51,351.46,21,20,52.534378,13.435727,-0.6
29.85,371.48,22,20,52.53437,13.435721,-1
29.85,392.37,22,20,52.534359,13.435745,-1.3
29.85,385.31,22,20,52.534359,13.43573,-1.2
29.85,378.35,25,31,52.534363,13.435719,-1.2
29.85,351.46,22,20,52.534363,13.435719,-1.3
29.85,371.48,22,20,52.534359,13.435743,-0.9
29.85,364.72,22,20,52.534367,13.435729,-0.7
29.19,371.48,22,20,52.534363,13.43572,-0.7
29.19,358.04,25,31,52.534363,13.43572,4.3
29.85,371.48,22,20,52.53437,13.435736,5.8
29.19,371.48,25,31,52.534363,13.435724,6.2
29.19,378.35,22,20,52.534348,13.435747,6.2
29.85,351.46,25,32,52.534348,13.435747,7
29.19,364.72,26,31,52.53434,13.435752,7.7
29.19,364.72,22,20,52.534328,13.435761,7.9
29.19,364.72,22,20,52.534325,13.43577,7.9
29.19,344.98,26,31,52.534325,13.43577,8.5
29.19,364.72,26,31,52.534317,13.435781,9
29.19,378.35,25,31,52.534306,13.435774,9.9
29.85,358.04,22,20,52.534306,13.43579,9.9
28.55,332.28,25,32,52.534306,13.43579,10
29.19,364.72,25,31,52.534298,13.435785,8
29.19,378.35,25,31,52.534294,13.435778,3.4
29.19,364.72,22,20,52.53429,13.435765,3.4
29.19,326.07,25,33,52.53429,13.435765,1.1
28.55,385.31,26,32,52.534245,13.435655,1.1
27.92,344.98,25,30,52.534245,13.435655,-1.1
28.55,358.04,22,20,52.534256,13.43562,-0.9
28.55,378.35,25,32,52.534271,13.435634,-3.5
28.55,358.04,22,20,52.534286,13.43566,-3.5
28.55,338.58,25,31,52.534286,13.43566,-3.9
28.55,371.48,25,30,52.534298,13.435665,-4.3
28.55,378.35,25,32,52.534302,13.435676,-3.7
28.55,364.72,22,20,52.534313,13.435664,-3.7
28.55,338.58,26,32,52.534313,13.435664,-3.5
29.19,351.46,26,31,52.534317,13.435665,-5.2
28.55,371.48,25,32,52.534321,13.435668,-6.3
28.55,358.04,25,32,52.534317,13.435655,-7.4
28.55,364.72,26,30,52.534321,13.435654,-7.4
28.55,338.58,25,32,52.534321,13.435654,-7.7
27.92,364.72,25,32,52.534321,13.435646,-8
28.55,358.04,22,20,52.534321,13.43565,-8.3
28.55,358.04,22,20,52.534321,13.435653,-8.3
28.55,344.98,22,20,52.534321,13.435653,-8.3
28.55,351.46,22,20,52.534325,13.435655,-8.4
28.55,364.72,25,31,52.534325,13.43565,-9
27.92,371.48,22,20,52.534325,13.435643,-9
